ryzyko,wynik
0.01,79540.3
0.02,79540.3
0.03,79540.3
0.04,79540.3
0.05,79540.3
0.06,79540.3
0.07,79540.3
0.08,79540.3
0.09,79540.3
0.10,79540.3
0.11,79540.3
0.12,79540.3
0.13,79540.3
0.14,79540.3
0.15,79540.3
0.16,79540.3
0.17,79540.3
0.18,79540.3
0.19,79540.3
0.20,79567.2
0.21,79594.2
0.22,79618.7
0.23,79641.1
0.24,79662
0.25,79687.9
0.26,79737.8
0.27,79783.9
0.28,79826.8
0.29,79866.8
0.30,79904
0.31,79938.9
0.32,79971.6
0.33,80002.3
0.34,80031.2
0.35,80058.4
0.36,80084.2
0.37,80108.5
0.38,80153.8
0.39,80218.5
0.40,80450
0.41,80714.6
0.42,80983.3
0.43,81312.8
0.44,81634.1
0.45,81944.4
0.46,82241.3
0.47,82525.5
0.48,82797.9
0.49,83059.2
0.50,83310
0.51,83551
0.52,83785.1
0.53,84014.9
0.54,84236.1
0.55,84449.4
0.56,84654.9
0.57,84853.3
0.58,85044.9
0.59,85229.9
0.60,85408.8
0.61,85581.8
0.62,85749.3
0.63,85911.4
0.64,86068.4
0.65,86220.7
0.66,86368.3
0.67,86511.5
0.68,86650.5
0.69,86785.4
0.70,86916.5
0.71,87043.9
0.72,87167.8
0.73,87288.3
0.74,87405.5
0.75,87519.6
0.76,87630.7
0.77,87738.9
0.78,87844.4
0.79,87947.1
0.80,88047.3
0.81,88166
0.82,88281.8
0.83,88394.9
0.84,88511.2
0.85,88627.6
0.86,88741.4
0.87,88852.6
0.88,88961.2
0.89,89067.4
0.90,89171.3
0.91,89282.2
0.92,89390.7
0.93,89496.8
0.94,89600.7
0.95,89702.4
0.96,89802
0.97,89899.5
0.98,89995.1
0.99,90088.7
1,90180.4
